name,pos,cap_hit,cap_percent,season,team
Carson Palmer,QB,18375000,11.56,2016,Arizona Cardinals
Larry Fitzgerald,WR,16850000,9.42,2018,Arizona Cardinals
Larry Fitzgerald,WR,15850000,9.97,2016,Arizona Cardinals
Larry Fitzgerald,WR,15850000,9.22,2017,Arizona Cardinals
Chandler Jones,DE,15500000,8.67,2018,Arizona Cardinals
Calais Campbell,DE,15250000,9.59,2016,Arizona Cardinals
Patrick Peterson,CB,14956965,8.37,2018,Arizona Cardinals
Chandler Jones,OLB,14833333,7.66,2019,Arizona Cardinals
Patrick Peterson,CB,14791491,9.96,2015,Arizona Cardinals
Calais Campbell,DE,14750000,9.93,2015,Arizona Cardinals
Patrick Peterson,CB,13706965,7.98,2017,Arizona Cardinals
Patrick Peterson,CB,13184588,6.71,2020,Arizona Cardinals
Carson Palmer,QB,13000000,9.57,2014,Arizona Cardinals
Larry Fitzgerald,WR,11750000,6.07,2019,Arizona Cardinals
Larry Fitzgerald,WR,11656250,5.93,2020,Arizona Cardinals
Calais Campbell,DE,11250000,8.28,2014,Arizona Cardinals
Larry Fitzgerald,WR,10850000,7.31,2015,Arizona Cardinals
Patrick Peterson,CB,10534024,6.63,2016,Arizona Cardinals
Jordan Hicks,ILB,10500000,5.34,2020,Arizona Cardinals
Justin Pugh,G,10421875,5.3,2020,Arizona Cardinals
Chandler Jones,OLB,10000000,5.82,2017,Arizona Cardinals
David Johnson,RB,9656250,4.99,2019,Arizona Cardinals
D.J. Humphries,LT,9625000,4.97,2019,Arizona Cardinals
Deone Bucannon,OLB,8718000,4.88,2018,Arizona Cardinals
Larry Fitzgerald,WR,8600000,6.33,2014,Arizona Cardinals
Jared Veldheer,RT,8500000,5.72,2015,Arizona Cardinals
Kenyan Drake,RB,8483000,4.32,2020,Arizona Cardinals
Tyrann Mathieu,FS,8100000,4.71,2017,Arizona Cardinals
Kyler Murray,QB,8080601,4.11,2020,Arizona Cardinals
Patrick Peterson,CB,8002235,4.13,2019,Arizona Cardinals
Chandler Jones,OLB,7799000,4.91,2016,Arizona Cardinals
Justin Pugh,G,7750000,4,2019,Arizona Cardinals
Carson Palmer,QB,7375000,4.97,2015,Arizona Cardinals
Jermaine Gresham,TE,7218750,4.04,2018,Arizona Cardinals
DeAndre Hopkins,WR,7000000,3.56,2020,Arizona Cardinals
Patrick Peterson,CB,6937132,5.11,2014,Arizona Cardinals
Mike Iupati,G,6700000,4.51,2015,Arizona Cardinals
J.R. Sweezy,G,6406250,3.26,2020,Arizona Cardinals
Jordan Hicks,ILB,6400000,3.31,2019,Arizona Cardinals
Kyler Murray,QB,6392481,3.3,2019,Arizona Cardinals
D.J. Humphries,LT,5740000,2.92,2020,Arizona Cardinals
Jerraud Powers,CB,5350000,3.6,2015,Arizona Cardinals
David Johnson,RB,5042344,2.82,2018,Arizona Cardinals
Jerraud Powers,CB,4750000,3.5,2014,Arizona Cardinals
Corey Peters,DT,4687500,2.42,2019,Arizona Cardinals
Corey Peters,DT,4347918,2.53,2017,Arizona Cardinals
Haason Reddick,ILB,4288444,2.18,2020,Arizona Cardinals
Mike Iupati,G,4200000,2.64,2016,Arizona Cardinals
Lyle Sendlein,C,4125000,3.04,2014,Arizona Cardinals
Drew Stanton,QB,4050000,2.36,2017,Arizona Cardinals
Antonio Cromartie,CB,4000000,2.94,2014,Arizona Cardinals
J.R. Sweezy,G,4000000,2.07,2019,Arizona Cardinals
Jonathan Cooper,G,3967910,2.67,2015,Arizona Cardinals
Drew Stanton,QB,3866668,2.6,2015,Arizona Cardinals
Sean Weatherspoon,ILB,3850000,2.59,2015,Arizona Cardinals
Budda Baker,S,3776820,1.92,2020,Arizona Cardinals
Isaiah Simmons,OLB,3757101,1.91,2020,Arizona Cardinals
Jermaine Gresham,TE,3750000,2.18,2017,Arizona Cardinals
Haason Reddick,ILB,3675809,1.9,2019,Arizona Cardinals
Antoine Bethea,FS,3658541,2.05,2018,Arizona Cardinals
Markus Golden,OLB,3651319,1.86,2020,Arizona Cardinals
Justin Bethel,CB,3500000,2.04,2017,Arizona Cardinals
Jermaine Gresham,TE,3468750,2.18,2016,Arizona Cardinals
Jonathan Cooper,G,3306591,2.43,2014,Arizona Cardinals
Maxx Williams,TE,3268750,1.66,2020,Arizona Cardinals
Justin Bethel,CB,3250000,2.04,2016,Arizona Cardinals
Josh Rosen,QB,3199592,1.79,2018,Arizona Cardinals
Michael Floyd,WR,3172750,2.14,2015,Arizona Cardinals
Jermaine Gresham,TE,3109375,2.09,2015,Arizona Cardinals
Haason Reddick,OLB,3063174,1.71,2018,Arizona Cardinals
Michael Floyd,WR,2719500,2,2014,Arizona Cardinals
Corey Peters,DT,2666666,1.8,2015,Arizona Cardinals
Drew Stanton,QB,2666666,1.96,2014,Arizona Cardinals
Corey Peters,DT,2640625,1.48,2018,Arizona Cardinals
Andy Lee,P,2627500,1.47,2018,Arizona Cardinals
Corey Peters,DT,2566666,1.61,2016,Arizona Cardinals
Phil Dawson,K,2500000,1.45,2017,Arizona Cardinals
Josh Mauro,DT,2500000,1.45,2017,Arizona Cardinals
Drew Stanton,QB,2500000,1.57,2016,Arizona Cardinals
Jared Veldheer,RT,2500000,1.84,2014,Arizona Cardinals
Tre Boston,FS,2475000,1.38,2018,Arizona Cardinals
Devon Kennard,OLB,2453125,1.25,2020,Arizona Cardinals
Deone Bucannon,ILB,2452928,1.43,2017,Arizona Cardinals
Haason Reddick,ILB,2450539,1.43,2017,Arizona Cardinals
Ted Larsen,G,2435000,1.64,2015,Arizona Cardinals
Karlos Dansby,ILB,2250000,1.31,2017,Arizona Cardinals
Ted Ginn Jr.,WR,2250000,1.66,2014,Arizona Cardinals
Dan Williams,DT,2185000,1.61,2014,Arizona Cardinals
Frostee Rucker,DT,2181875,1.47,2015,Arizona Cardinals
Rashad Johnson,FS,2133334,1.44,2015,Arizona Cardinals
Rashad Johnson,FS,2133333,1.57,2014,Arizona Cardinals
D.J. Humphries,LT,2025480,1.27,2016,Arizona Cardinals
De'Vondre Campbell,ILB,2000000,1.02,2020,Arizona Cardinals
Andy Lee,P,2000000,1.02,2020,Arizona Cardinals
Lyle Sendlein,C,2000000,1.35,2015,Arizona Cardinals
Mike Glennon,QB,2000000,1.12,2018,Arizona Cardinals
Andy Lee,P,2000000,1.03,2019,Arizona Cardinals
Charles Clay,TE,1968750,1.02,2019,Arizona Cardinals
J.J. Nelson,WR,1959450,1.1,2018,Arizona Cardinals
Robert Nkemdiche,DE,1954681,1.14,2017,Arizona Cardinals
Tramon Williams,CB,1950000,1.13,2017,Arizona Cardinals
Alex Boone,G,1937500,1.13,2017,Arizona Cardinals
John Brown,WR,1932725,1.12,2017,Arizona Cardinals
Brett Hundley,QB,1875000,0.97,2019,Arizona Cardinals
Budda Baker,SS,1862729,0.96,2019,Arizona Cardinals
Byron Murphy,CB,1815795,0.92,2020,Arizona Cardinals
Alex Okafor,DE,1789607,1.13,2016,Arizona Cardinals
Deone Bucannon,ILB,1752091,1.18,2015,Arizona Cardinals
Max Garcia,G,1718750,0.89,2019,Arizona Cardinals
Andre Ellington,RB,1696966,1.07,2016,Arizona Cardinals
D.J. Swearinger,FS,1671000,1.05,2016,Arizona Cardinals
A.Q. Shipley,C,1637500,0.95,2017,Arizona Cardinals
Matt Shaughnessy,DE,1625000,1.2,2014,Arizona Cardinals
D.J. Humphries,LT,1620384,1.09,2015,Arizona Cardinals
Christian Kirk,WR,1607691,0.82,2020,Arizona Cardinals
Robert Housler,TE,1602023,1.18,2014,Arizona Cardinals
Robert Nkemdiche,DE,1563745,0.98,2016,Arizona Cardinals
A.Q. Shipley,C,1555000,0.8,2019,Arizona Cardinals
Budda Baker,SS,1552274,0.87,2018,Arizona Cardinals
Sam Acho,OLB,1549607,1.14,2014,Arizona Cardinals
Bobby Massie,RT,1471433,0.99,2015,Arizona Cardinals
Lorenzo Alexander,OLB,1455000,1.07,2014,Arizona Cardinals
Byron Murphy,CB,1452636,0.75,2019,Arizona Cardinals
Justin Bethel,CB,1438556,0.97,2015,Arizona Cardinals
John Carlson,TE,1437500,1.06,2014,Arizona Cardinals
Deone Bucannon,ILB,1401673,1.03,2014,Arizona Cardinals
Kevin Minter,ILB,1396903,0.88,2016,Arizona Cardinals
Andy Lee,P,1362500,0.79,2017,Arizona Cardinals
Frostee Rucker,DT,1353125,0.85,2016,Arizona Cardinals
Christian Kirk,WR,1339742,0.69,2019,Arizona Cardinals
Benson Mayowa,DE,1334375,0.75,2018,Arizona Cardinals
Jaron Brown,WR,1311250,0.76,2017,Arizona Cardinals
Troy Niklas,TE,1280141,0.75,2017,Arizona Cardinals
Markus Golden,DE,1246742,0.7,2018,Arizona Cardinals
Budda Baker,SS,1241819,0.72,2017,Arizona Cardinals
Max Garcia,G,1226250,0.62,2020,Arizona Cardinals
Kevin Minter,ILB,1197354,0.81,2015,Arizona Cardinals
Aaron Brewer,LS,1168750,0.59,2020,Arizona Cardinals
Mike Leach,LS,1091668,0.8,2014,Arizona Cardinals
Justin Murray,T,1083333,0.55,2020,Arizona Cardinals
Frostee Rucker,DT,1080000,0.63,2017,Arizona Cardinals
Kenyan Drake,RB,1072059,0.55,2019,Arizona Cardinals
Ted Larsen,G,1065000,0.78,2014,Arizona Cardinals
Maxx Williams,TE,1055000,0.54,2019,Arizona Cardinals
Andy Isabella,WR,1052244,0.54,2020,Arizona Cardinals
Aaron Brewer,LS,1048750,0.54,2019,Arizona Cardinals
Cassius Marsh,OLB,1000000,0.52,2019,Arizona Cardinals
Kevin Minter,ILB,997795,0.73,2014,Arizona Cardinals
Mason Cole,C,977629,0.5,2020,Arizona Cardinals
Zach Allen,DE,975855,0.5,2020,Arizona Cardinals
Tommy Kelly,DT,955000,0.7,2014,Arizona Cardinals
Frostee Rucker,DT,927500,0.68,2014,Arizona Cardinals
Troy Niklas,TE,914386,0.62,2015,Arizona Cardinals
Blaine Gabbert,QB,895000,0.52,2017,Arizona Cardinals
Markus Golden,OLB,890530,0.56,2016,Arizona Cardinals
Chris Banjo,SS,887500,0.45,2020,Arizona Cardinals
Kelvin Beachum,LT,887500,0.45,2020,Arizona Cardinals
Brett Hundley,QB,887500,0.45,2020,Arizona Cardinals
Aaron Brewer,LS,883750,0.49,2018,Arizona Cardinals
Josh Jones,RT,879881,0.45,2020,Arizona Cardinals
Chase Edmonds,RB,863089,0.44,2020,Arizona Cardinals
Kareem Martin,OLB,851890,0.5,2017,Arizona Cardinals
Andy Isabella,WR,841794,0.43,2019,Arizona Cardinals
A.Q. Shipley,C,835000,0.53,2016,Arizona Cardinals
Rodney Gunter,DT,832480,0.47,2018,Arizona Cardinals
Tanner Vallejo,ILB,825000,0.42,2020,Arizona Cardinals
Charles Washington,FS,825000,0.42,2020,Arizona Cardinals
Darrell Daniels,TE,825000,0.42,2020,Arizona Cardinals
Brandon Williams,CB,824173,0.46,2018,Arizona Cardinals
Mason Cole,C,795879,0.41,2019,Arizona Cardinals
Earl Watford,RT,783716,0.49,2016,Arizona Cardinals
Paul Fanaika,G,780000,0.57,2014,Arizona Cardinals
Deionte Thompson,SS,762208,0.39,2020,Arizona Cardinals
Jalen Thompson,SS,760730,0.39,2020,Arizona Cardinals
Bradley Sowell,LT,760000,0.51,2015,Arizona Cardinals
Kareem Martin,OLB,759890,0.48,2016,Arizona Cardinals
Chad Williams,WR,758072,0.42,2018,Arizona Cardinals
Trent Sherfield,WR,753334,0.38,2020,Arizona Cardinals
Ezekiel Turner,ILB,751000,0.38,2020,Arizona Cardinals
Angelo Blackson,DE,750000,0.38,2020,Arizona Cardinals
Dan Arnold,TE,750000,0.38,2020,Arizona Cardinals
Dre Kirkpatrick,CB,750000,0.38,2020,Arizona Cardinals
John Brown,WR,747725,0.47,2016,Arizona Cardinals
Rodney Gunter,DT,742479,0.43,2017,Arizona Cardinals
A.Q. Shipley,C,735000,0.49,2015,Arizona Cardinals
Brandon Williams,CB,731673,0.43,2017,Arizona Cardinals
Troy Niklas,TE,731509,0.54,2014,Arizona Cardinals
Keesean Johnson,WR,727328,0.37,2020,Arizona Cardinals
Stepfan Taylor,RB,725125,0.46,2016,Arizona Cardinals
Lamont Gaillard,G,722034,0.37,2020,Arizona Cardinals
Damiere Byrd,WR,720000,0.37,2019,Arizona Cardinals
Tyrann Mathieu,FS,713281,0.53,2014,Arizona Cardinals
Markus Golden,OLB,712424,0.48,2015,Arizona Cardinals
David Johnson,RB,708843,0.45,2016,Arizona Cardinals
Zach Moore,DE,705000,0.39,2018,Arizona Cardinals
Joshua Miles,LT,693644,0.35,2020,Arizona Cardinals
Kerwynn Williams,RB,690000,0.4,2017,Arizona Cardinals
Chase Edmonds,RB,683089,0.35,2019,Arizona Cardinals
Bobby Massie,RT,680845,0.5,2014,Arizona Cardinals
Kevin Peterson,CB,679416,0.35,2020,Arizona Cardinals
Marcus Cooper,CB,675000,0.42,2016,Arizona Cardinals
Rashard Lawrence,DE,671016,0.34,2020,Arizona Cardinals
Mason Cole,C,670379,0.37,2018,Arizona Cardinals
Kareem Martin,OLB,669890,0.45,2015,Arizona Cardinals
J.J. Nelson,WR,667450,0.39,2017,Arizona Cardinals
Evan Boehm,G,666620,0.39,2017,Arizona Cardinals
Mike Leach,LS,665000,0.45,2015,Arizona Cardinals
Chris Banjo,SS,662941,0.34,2019,Arizona Cardinals
John Brown,WR,657725,0.44,2015,Arizona Cardinals
Rodney Gunter,DT,652479,0.41,2016,Arizona Cardinals
Ed Stinson,DE,646685,0.41,2016,Arizona Cardinals
Joe Walker,ILB,645000,0.33,2019,Arizona Cardinals
Charles Washington,S,645000,0.33,2019,Arizona Cardinals
Zane Gonzalez,K,645000,0.33,2019,Arizona Cardinals
Chad Williams,WR,641572,0.37,2017,Arizona Cardinals
Eno Benjamin,RB,635678,0.32,2020,Arizona Cardinals
Stepfan Taylor,RB,635125,0.43,2015,Arizona Cardinals
Derrick Coleman,FB,630000,0.35,2018,Arizona Cardinals
Gerald Hodges,OLB,630000,0.35,2018,Arizona Cardinals
Brandon Williams,CB,618173,0.39,2016,Arizona Cardinals
Xavier Williams,DT,617668,0.36,2017,Arizona Cardinals
Zach Kerr,DT,615588,0.32,2019,Arizona Cardinals
Josh Bynes,OLB,615000,0.36,2017,Arizona Cardinals
Alex Okafor,DE,613607,0.45,2014,Arizona Cardinals
Andre Ellington,RB,610966,0.41,2015,Arizona Cardinals
Chris Streveler,QB,610000,0.31,2020,Arizona Cardinals
Earl Watford,RT,603716,0.44,2014,Arizona Cardinals
Chandler Catanzaro,K,600500,0.38,2016,Arizona Cardinals
Josh Mauro,DT,600000,0.38,2016,Arizona Cardinals
Darren Fells,TE,600000,0.38,2016,Arizona Cardinals
Justin Bethel,CB,598556,0.44,2014,Arizona Cardinals
David Johnson,RB,594843,0.4,2015,Arizona Cardinals
Chase Edmonds,RB,593089,0.33,2018,Arizona Cardinals
Earl Watford,RT,592647,0.34,2017,Arizona Cardinals
Matt Barkley,QB,592500,0.4,2015,Arizona Cardinals
Johnathan Ford,S,590045,0.33,2018,Arizona Cardinals
Tony Jefferson,SS,588368,0.4,2015,Arizona Cardinals
Jaron Brown,WR,588000,0.4,2015,Arizona Cardinals
Drew Butler,P,585000,0.39,2015,Arizona Cardinals
Deionte Thompson,S,582208,0.3,2019,Arizona Cardinals
Jalen Thompson,S,580730,0.3,2019,Arizona Cardinals
J.J. Nelson,WR,577450,0.36,2016,Arizona Cardinals
Evan Boehm,G,576620,0.36,2016,Arizona Cardinals
Trent Sherfield,WR,573333,0.3,2019,Arizona Cardinals
Dennis Gardeck,OLB,572000,0.3,2019,Arizona Cardinals
Ezekiel Turner,ILB,571000,0.29,2019,Arizona Cardinals
Bradley Sowell,LT,570000,0.42,2014,Arizona Cardinals
Alameda Ta'amu,DT,570000,0.42,2014,Arizona Cardinals
Larry Foote,ILB,570000,0.42,2014,Arizona Cardinals
Justin Murray,T,570000,0.29,2019,Arizona Cardinals
Rodney Gunter,DT,562479,0.38,2015,Arizona Cardinals
Kareem Martin,OLB,561890,0.41,2014,Arizona Cardinals
Ed Stinson,DE,556685,0.37,2015,Arizona Cardinals
Aaron Brewer,LS,555882,0.35,2016,Arizona Cardinals
John Brown,WR,555725,0.41,2014,Arizona Cardinals
Ricky Seals-Jones,TE,555000,0.31,2018,Arizona Cardinals
Daniel Munyer,C,555000,0.31,2018,Arizona Cardinals
Pharoh Cooper,WR,550588,0.28,2019,Arizona Cardinals
Keesean Johnson,WR,547328,0.28,2019,Arizona Cardinals
Stepfan Taylor,RB,545125,0.4,2014,Arizona Cardinals
Lamont Gaillard,G,542034,0.28,2019,Arizona Cardinals
Aaron Brewer,LS,540647,0.31,2017,Arizona Cardinals
John Wetzel,RT,540000,0.31,2017,Arizona Cardinals
Olsen Pierre,DT,540000,0.31,2017,Arizona Cardinals
Will Holden,T,532032,0.31,2017,Arizona Cardinals
T.J. Logan,RB,530484,0.3,2018,Arizona Cardinals
Logan Thomas,TE,528023,0.39,2014,Arizona Cardinals
Xavier Williams,DT,527666,0.33,2016,Arizona Cardinals
Andre Ellington,RB,520966,0.38,2014,Arizona Cardinals
Joshua Miles,T,513644,0.27,2019,Arizona Cardinals
Michael Dogbe,DE,513644,0.27,2019,Arizona Cardinals
Chandler Catanzaro,K,510500,0.34,2015,Arizona Cardinals
Darren Fells,TE,510000,0.34,2015,Arizona Cardinals
Josh Mauro,DT,510000,0.34,2015,Arizona Cardinals
Brittan Golden,WR,510000,0.34,2015,Arizona Cardinals
D.J. Foster,WR,508235,0.3,2017,Arizona Cardinals
Tony Jefferson,SS,498366,0.37,2014,Arizona Cardinals
Jaron Brown,WR,498000,0.37,2014,Arizona Cardinals
Cole Toner,G,496096,0.31,2016,Arizona Cardinals
Robert Hughes,RB,495000,0.36,2014,Arizona Cardinals
Kenny Demens,ILB,495000,0.36,2014,Arizona Cardinals
Joe Walker,ILB,489705,0.27,2018,Arizona Cardinals
Shaquille Riddick,OLB,487958,0.33,2015,Arizona Cardinals
J.J. Nelson,WR,487450,0.33,2015,Arizona Cardinals
Trent Sherfield,WR,483333,0.27,2018,Arizona Cardinals
Dennis Gardeck,OLB,482000,0.27,2018,Arizona Cardinals
Ezekiel Turner,S,481000,0.27,2018,Arizona Cardinals
Jonathan Ward,RB,466470,0.24,2020,Arizona Cardinals
Elijhaa Penny,RB,465000,0.27,2017,Arizona Cardinals
Brittan Golden,WR,458823,0.29,2016,Arizona Cardinals
Ed Stinson,DE,452920,0.33,2014,Arizona Cardinals
John Wetzel,RT,450000,0.28,2016,Arizona Cardinals
Olsen Pierre,DT,450000,0.28,2016,Arizona Cardinals
Alani Fua,OLB,440666,0.3,2015,Arizona Cardinals
Xavier Williams,DT,437666,0.29,2015,Arizona Cardinals
Kerwynn Williams,RB,423529,0.27,2016,Arizona Cardinals
Chandler Catanzaro,K,420500,0.31,2014,Arizona Cardinals
Darren Fells,TE,420000,0.31,2014,Arizona Cardinals
Glenn Carson,ILB,420000,0.31,2014,Arizona Cardinals
Scooby Wright,ILB,412945,0.24,2017,Arizona Cardinals
Dwight Freeney,OLB,412941,0.28,2015,Arizona Cardinals
Ricky Seals-Jones,TE,410294,0.24,2017,Arizona Cardinals
Marcus Benard,OLB,402352,0.3,2014,Arizona Cardinals
Oday Aboushi,G,370590,0.21,2018,Arizona Cardinals
Drew Butler,P,349411,0.26,2014,Arizona Cardinals
Marion Grice,RB,345882,0.25,2014,Arizona Cardinals
Hakeem Valles,TE,344117,0.22,2016,Arizona Cardinals
John Phillips,TE,333531,0.19,2018,Arizona Cardinals
Gerald Christian,TE,331195,0.22,2015,Arizona Cardinals
Zack Wagenmann,DE,320666,0.22,2015,Arizona Cardinals
Matt Barkley,QB,319117,0.19,2017,Arizona Cardinals
Ifeanyi Momah,TE,318000,0.21,2015,Arizona Cardinals
John Fullington,G,318000,0.21,2015,Arizona Cardinals
David Amerson,CB,278824,0.16,2018,Arizona Cardinals
Sio Moore,OLB,268235,0.17,2016,Arizona Cardinals
Chris Jones,CB,268232,0.14,2019,Arizona Cardinals
Domata Peko,DT,264708,0.13,2020,Arizona Cardinals
Leki Fotu,DT,263956,0.13,2020,Arizona Cardinals
Max Tuerk,C,254117,0.15,2017,Arizona Cardinals
Colby Gossett,G,254115,0.14,2018,Arizona Cardinals
Zaviar Gooden,ILB,247058,0.16,2016,Arizona Cardinals
Bryson Albright,OLB,246177,0.14,2017,Arizona Cardinals
Ryan Lindley,QB,234706,0.17,2014,Arizona Cardinals
Zack Golditch,G,225880,0.13,2018,Arizona Cardinals
Joe Barksdale,RT,215294,0.12,2018,Arizona Cardinals
Red Bryant,DE,206470,0.14,2015,Arizona Cardinals
Miles Brown,DT,203823,0.11,2019,Arizona Cardinals
Corey White,CB,194117,0.13,2015,Arizona Cardinals
D.J. Swearinger,FS,176470,0.1,2018,Arizona Cardinals
Khalif Barnes,LT,176470,0.1,2017,Arizona Cardinals
Josh Mauro,DT,172941,0.13,2014,Arizona Cardinals
Zane Gonzalez,K,163235,0.09,2018,Arizona Cardinals
Darrell Daniels,TE,163235,0.09,2018,Arizona Cardinals
Will Holden,T,163235,0.09,2018,Arizona Cardinals
Cameron Malveaux,DE,163235,0.09,2018,Arizona Cardinals
D.J. Foster,RB,160588,0.08,2020,Arizona Cardinals
Gabe Martin,ILB,158825,0.09,2017,Arizona Cardinals
Marquis Bundy,WR,158820,0.1,2016,Arizona Cardinals
Caraun Reid,DT,151764,0.08,2019,Arizona Cardinals
Kerwynn Williams,RB,150000,0.1,2015,Arizona Cardinals
Rees Odhiambo,T,148236,0.08,2018,Arizona Cardinals
D.J. Swearinger,FS,137647,0.09,2015,Arizona Cardinals
Kylie Fitts,DE,134117,0.07,2019,Arizona Cardinals
Dan Arnold,TE,134117,0.07,2019,Arizona Cardinals
Jalen Davis,CB,134117,0.07,2019,Arizona Cardinals
Vontarrius Dora,OLB,130588,0.07,2018,Arizona Cardinals
Chris Clemons,FS,128824,0.09,2014,Arizona Cardinals
Harlan Miller,CB,127058,0.07,2017,Arizona Cardinals
Mike Nugent,K,123529,0.06,2020,Arizona Cardinals
Jeremy Ross,WR,119117,0.07,2016,Arizona Cardinals
Jalen Tolliver,WR,112940,0.06,2018,Arizona Cardinals
Anthony Steen,G,98823,0.07,2014,Arizona Cardinals
Kerwynn Williams,RB,98823,0.07,2014,Arizona Cardinals
Vincent Valentine,DT,97941,0.05,2018,Arizona Cardinals
Seth Devalve,TE,97058,0.05,2020,Arizona Cardinals
C.J. Goodwin,S,95295,0.06,2017,Arizona Cardinals
Gabe Holmes,TE,95294,0.06,2017,Arizona Cardinals
Vinston Painter,RT,95294,0.06,2017,Arizona Cardinals
Zac Dysert,QB,92646,0.06,2016,Arizona Cardinals
Chris Clemons,FS,87647,0.06,2015,Arizona Cardinals
Scooby Wright,ILB,79410,0.05,2016,Arizona Cardinals
Matt Wile,P,79410,0.05,2016,Arizona Cardinals
Givens Price,T,79410,0.05,2016,Arizona Cardinals
Vontarrius Dora,OLB,75882,0.04,2019,Arizona Cardinals
Pharoh Cooper,WR,74118,0.04,2018,Arizona Cardinals
Keishawn Bierria,ILB,67058,0.03,2019,Arizona Cardinals
Bronson Hill,RB,63529,0.04,2017,Arizona Cardinals
Andre Chachere,CB,58235,0.03,2019,Arizona Cardinals
Brittan Golden,WR,58235,0.04,2014,Arizona Cardinals
Chris Jones,S,56470,0.03,2018,Arizona Cardinals
Trevon Hartfield,S,52940,0.03,2016,Arizona Cardinals
Harlan Miller,CB,52940,0.03,2016,Arizona Cardinals
Edmond Robinson,OLB,36176,0.02,2017,Arizona Cardinals
Brian Dixon,CB,35294,0.02,2016,Arizona Cardinals
Christian Bryant,FS,30882,0.02,2016,Arizona Cardinals
Drew Anderson,QB,29118,0.02,2019,Arizona Cardinals
Malachi Dupre,WR,28235,0.02,2018,Arizona Cardinals
Pasoni Tasini,DE,28235,0.02,2018,Arizona Cardinals
Gabe Martin,ILB,0,0,2015,Arizona Cardinals
Jason Babin,DE,0,0,2015,Arizona Cardinals
Matt Ryan,QB,23750000,14.28,2017,Atlanta Falcons
Matt Ryan,QB,23750000,14.96,2016,Atlanta Falcons
Julio Jones,WR,20416668,10.11,2020,Atlanta Falcons
Matt Ryan,QB,19500000,14.31,2015,Atlanta Falcons
Matt Ryan,QB,18962500,9.39,2020,Atlanta Falcons
Matt Ryan,QB,17700000,9.93,2018,Atlanta Falcons
Matt Ryan,QB,17500000,13.16,2014,Atlanta Falcons
Julio Jones,WR,15900000,10.01,2016,Atlanta Falcons
Matt Ryan,QB,15800000,8.33,2019,Atlanta Falcons
Julio Jones,WR,13900000,8.36,2017,Atlanta Falcons
Desmond Trufant,CB,12900000,7.23,2018,Atlanta Falcons
Julio Jones,WR,12866667,7.22,2018,Atlanta Falcons
Vic Beasley,DE,12810000,6.75,2019,Atlanta Falcons
Julio Jones,WR,12400000,9.1,2015,Atlanta Falcons
Grady Jarrett,DT,12334000,6.11,2020,Atlanta Falcons
Alex Mack,C,11050000,6.2,2018,Atlanta Falcons
Alex Mack,C,11050000,5.82,2019,Atlanta Falcons
Grady Jarrett,DT,11000000,5.8,2019,Atlanta Falcons
Jake Matthews,LT,10764200,5.33,2020,Atlanta Falcons
Alex Mack,C,10550000,5.23,2020,Atlanta Falcons
Julio Jones,WR,10366667,5.46,2019,Atlanta Falcons
Deion Jones,ILB,10320000,5.11,2020,Atlanta Falcons
Robert Alford,CB,9600000,5.38,2018,Atlanta Falcons
Robert Alford,CB,9600000,5.77,2017,Atlanta Falcons
Alex Mack,C,8300000,4.99,2017,Atlanta Falcons
Jake Matthews,LT,8289200,4.65,2018,Atlanta Falcons
Dontari Poe,DT,8000000,4.81,2017,Atlanta Falcons
Justin Blalock,G,7660000,5.76,2014,Atlanta Falcons
Jake Matthews,LT,7589200,4,2019,Atlanta Falcons
Mohamed Sanu,WR,7525000,4.22,2018,Atlanta Falcons
Mohamed Sanu,WR,7400000,4.45,2017,Atlanta Falcons
Ricardo Allen,FS,7375000,3.65,2020,Atlanta Falcons
Devonta Freeman,RB,6750000,3.56,2019,Atlanta Falcons
Dante Fowler Jr.,DE,6666666,3.3,2020,Atlanta Falcons
Ryan Schraeder,RT,6500000,3.65,2018,Atlanta Falcons
Keanu Neal,SS,6466000,3.2,2020,Atlanta Falcons
Tyson Jackson,DE,6350000,4,2016,Atlanta Falcons
Roddy White,WR,6212500,4.67,2014,Atlanta Falcons
Roddy White,WR,5556250,4.08,2015,Atlanta Falcons
Todd Gurley,RB,5500000,2.72,2020,Atlanta Falcons
Adrian Clayborn,DE,5406250,3.25,2017,Atlanta Falcons
Paul Soliai,DT,5400000,4.06,2014,Atlanta Falcons
Andy Levitre,G,5375000,3.38,2016,Atlanta Falcons
Jake Matthews,LT,5227569,3.14,2017,Atlanta Falcons
James Carpenter,G,5161458,2.56,2020,Atlanta Falcons
Julio Jones,WR,5149375,3.87,2014,Atlanta Falcons
Brooks Reed,DE,5040000,3.03,2017,Atlanta Falcons
Deion Jones,ILB,5026482,2.65,2019,Atlanta Falcons
Osi Umenyiora,OLB,4750000,3.57,2014,Atlanta Falcons
Vic Beasley,DE,4612118,2.59,2018,Atlanta Falcons
Desmond Trufant,CB,4526000,2.72,2017,Atlanta Falcons
Matt Schaub,QB,4500000,2.52,2018,Atlanta Falcons
Allen Bailey,DE,4484375,2.36,2019,Atlanta Falcons
Jake Matthews,LT,4480773,2.82,2016,Atlanta Falcons
Devonta Freeman,RB,4418106,2.66,2017,Atlanta Falcons
Allen Bailey,DE,4375000,2.17,2020,Atlanta Falcons
Jamon Brown,G,4333333,2.28,2019,Atlanta Falcons
Derrick Shelby,DT,4250000,2.56,2017,Atlanta Falcons
Steven Jackson,RB,4166666,3.13,2014,Atlanta Falcons
